energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-c_100g,calcium_100g,iron_100g,nutrition-score-fr_100g,code,score
313.0,0.6,0.2,0.0025092250922509,0.0149349349349349,16.0,15.1,1.4,0.4,0.00762,0.003,0.0001643742978723,0.0305367521367521,0.127478417266187,0.00659375,-3.0,3021761203186,4
291.0,0.5,0.5,0.0025184501845018,0.0149149149149149,14.6,13.6,0.0,0.5,0.01,0.0039370078740157,0.0001643984680851,0.0304166666666666,0.1275431654676259,0.006621875,-2.0,3021761203230,4
298.0,0.5,0.5,0.0025276752767527,0.0148948948948948,15.0,14.2,0.0,0.5,0.01,0.0039370078740157,0.0001644226382978,0.0302965811965812,0.1276079136690647,0.00665,-2.0,3021761204015,4
317.0,0.5,0.5,0.0025322878228782,0.0148848848848848,15.9,15.1,0.0,0.5,0.0100076,0.00394,0.0001644347234042,0.0302365384615384,0.1276402877697841,0.0066640625,-2.0,3021761204077,4
276.0,0.7,0.5,0.0025461254612546,0.0148548548548548,13.3,12.2,0.2333333333333333,0.5,0.01,0.0039370078740157,0.0001644709787234,0.0300564102564102,0.1277374100719424,0.00670625,-3.0,3021761204114,4
323.0,0.6,0.5,0.0025599630996309,0.0148248248248248,15.1,14.1,0.9333333333333332,0.7,0.01,0.0039370078740157,0.0001645072340425,0.029876282051282,0.1278345323741007,0.0067484375,-2.0,3021761204701,4
328.0,0.8,0.5,0.0025645756457564,0.0148148148148148,15.7,14.3,1.1666666666666663,0.6,0.01,0.0039370078740157,0.0001645193191489,0.0298162393162393,0.1278669064748201,0.0067625,-2.0,3021761204718,4
312.0,0.5,0.2,0.0025691881918819,0.0148048048048048,16.2,15.2,1.4,0.5,0.00762,0.003,0.0001645314042553,0.0297561965811965,0.1278992805755395,0.0067765625,-3.0,3021761204725,4
332.0,0.6,0.5,0.0025738007380073,0.0147947947947947,16.4,15.1,1.3857142857142857,0.7,0.0100076,0.00394,0.0001645434893617,0.0296961538461538,0.127931654676259,0.006790625,-2.0,3021761204732,4
298.0,0.6,0.5,0.0025784132841328,0.0147847847847847,14.9,14.3,1.3714285714285714,0.5,0.01,0.0039370078740157,0.000164555574468,0.0296361111111111,0.1279640287769784,0.0068046875,-2.0,3021761204749,4
315.0,0.6,0.5,0.0025830258302583,0.0147747747747747,15.8,14.7,1.3571428571428572,0.5,0.01,0.0039370078740157,0.0001645676595744,0.0295760683760683,0.1279964028776978,0.00681875,-2.0,3021761204787,4
310.0,0.6,0.5,0.0025876383763837,0.0147647647647647,15.1,14.1,1.3428571428571427,0.5,0.01,0.0039370078740157,0.0001645797446808,0.0295160256410256,0.1280287769784172,0.0068328125,-2.0,3021761204794,4
